ProviderId,DataYear,OP_10_Score,OP_11_Score,OP_13_Score,OP_14_Score,OP_8_Score,OP_9_Score,OP_10_Sample,OP_11_Sample,OP_13_Sample,OP_14_Sample,OP_8_Sample,OP_9_Sample,MeasureStartDate,MeasureEndDate
650001,2015,1.2,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
670002,2011,0.208,N/A,NULL,NULL,N/A,N/A,77,N/A,NULL,NULL,N/A,N/A,NULL,NULL
670002,2014,17.9,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
670004,2015,23.5,9.6,Not Available,Not Available,Not Available,5.5,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
670005,2011,N/A,N/A,NULL,NULL,N/A,N/A,N/A,N/A,NULL,NULL,N/A,N/A,NULL,NULL
670006,2010,0.180,0.054,NULL,NULL,27.8,N/A,50,37,NULL,NULL,36,N/A,NULL,NULL
670008,2011,0.571,N/A,NULL,NULL,30.7,N/A,140,N/A,NULL,NULL,166,N/A,NULL,NULL
670008,2014,59.5,Not Available,Not Available,Not Available,42.9,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000
670010,2013,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
670011,2010,0.163,0.298,NULL,NULL,29.4,N/A,104,57,NULL,NULL,17,N/A,NULL,NULL
670012,2012,Not Available,Not Available,Not Available,Not Available,32.7,Not Available,Not Available,Not Available,Not Available,Not Available,153,Not Available,NULL,NULL
670012,2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
670018,2012,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
670019,2012,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,NULL,NULL
670019,2015,46.2,28.3,Not Available,Not Available,Not Available,17.2,NULL,NULL,NULL,NULL,NULL,NULL,2013-07-01 00:00:00.000,2014-06-30 00:00:00.000
670023,2013,9.5,11.3,7.8,2.6,Not Available,3.1,442,160,179,537,Not Available,486,NULL,NULL
670023,2016,4.6,8.7,5.3,2.3,Not Available,6.7,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
670024,2016,45.0,3.7,3.5,3.0,40.3,10.5,NULL,NULL,NULL,NULL,NULL,NULL,2014-07-01 00:00:00.000,2015-06-30 00:00:00.000
670025,2012,Not Available,Not Available,4,0.7,Not Available,Not Available,Not Available,Not Available,75,134,Not Available,Not Available,NULL,NULL
670031,2011,0.175,0.093,NULL,NULL,24.7,N/A,365,151,NULL,NULL,97,N/A,NULL,NULL
